id,created_at,text,,
6.26176E+17,28-07-2015 23:44,@T_Rawww_24 this coming season 15-16,,
6.26176E+17,28-07-2015 23:43,@benbriant3 Vince Vaughn and Jennifer Lawrence,,
6.26176E+17,28-07-2015 23:42,@JarrettFeldhaus Yeah that boi can hoop! Mo Gotti!,,
6.26176E+17,28-07-2015 23:41,@RageGOOD Diana Taurasi,,
6.26175E+17,28-07-2015 23:40,"@JoshuaJ45042082 I've been answering questions for 40 mins, what u talking about? Lol",,
6.26175E+17,28-07-2015 23:39,@HLNLeyenda10 Get us playing at an elite level as close to full year as possible,,
6.26175E+17,28-07-2015 23:38,@AndSooWHAT @CalvinPauldude There my fans as well. I need them all. W/O them there's no adversity. Love them all,,
6.26174E+17,28-07-2015 23:36,@RickyBobbyVIP U must haven't saw it. I LOVED the fans in Miami!! Especially during White Out time,,
6.26173E+17,28-07-2015 23:32,I know what I did say I missed y'all. Let's Go another 30 mins! Let go,,
6.26173E+17,28-07-2015 23:30,Ok that's 30 mins! Love talking to y'all,,
6.26173E+17,28-07-2015 23:30,@stnorton24 My crib was like 10 mins away from AAA,,
6.26173E+17,28-07-2015 23:29,@ScubbaBrock Aight cool where we going?,,
6.26172E+17,28-07-2015 23:28,@tr3y_mill3r Tom and Jerry,,
6.26172E+17,28-07-2015 23:25,@brokecrayons I love what I do! And I wanna be the Greatest!,,
6.26172E+17,28-07-2015 23:25,"@frannyleee Trainwreck, 40 year old virgin, Ol school, Friday, Coming to America",,
6.26171E+17,28-07-2015 23:23,"@Briantelevision Ultimate Warrior, Sting, Ric Flair and Legion of Doom",,
6.26171E+17,28-07-2015 23:21,"@conr_rich Ray Allen, @chrisbosh @kevinlove @KyrieIrving just to name a few",,
6.2617E+17,28-07-2015 23:20,@kinghuffmanIV So comfortable! Hard to stay awake back there. #FitForAKing,,
6.2617E+17,28-07-2015 23:19,@drewmandrew27 He's has way too many that I like to pick just 1 #MambaGotSoMuchGame,,
6.2617E+17,28-07-2015 23:17,@Seinfeld2000 Aww man it's impossible to say 1 favorite. I'm actually watching it now as I speak to you guys. Haha,,
6.26169E+17,28-07-2015 23:16,@KingJRob21 Maybe.......Guess we'll just have to wait and see. #LooneyToonsRock,,
6.26169E+17,28-07-2015 23:15,@parttimestan My wife named her. I loved it as well when I heard it.,,
6.26169E+17,28-07-2015 23:14,@bwsmall35 @DwyaneWade @carmeloanthony @CP3,,
6.26169E+17,28-07-2015 23:13,@heftylinens Gladiator/The Godfather 2. Batman and Michael Jordan growing up,,
6.26168E+17,28-07-2015 23:12,@kylepronick2 Not sure cause I do more winning than losing my friend,,
6.26168E+17,28-07-2015 23:10,@BorgeJulisa March Madness-Future,,
6.26168E+17,28-07-2015 23:10,"@v_garcia9 @Drake  today, Jay-Z all time.",,
6.26168E+17,28-07-2015 23:09,"@mfadel LA,NY,Chi,Bos,GS",,
6.26167E+17,28-07-2015 23:05,"@Rudolphhh Naw they have more than enough over in that sport, don't need me! Love it still though",,
6.26166E+17,28-07-2015 23:04,@keithcombinek Just being able to show them the way every day. You give them the blueprint and let them make their own path.,,
